name,level,faction,active,start_date,profile_pic
dragonball,198,Legion,Active,2013-06-08,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile56391.jpg?refresh=0142
Dryad,200,Legion,Active,2013-08-29,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile91305.jpg?refresh=0245
nowyoudie,192,Legion,Active,2014-01-15,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile125731.jpg?refresh=0203
Fritzu69,100,Faceless,Retired,2013-06-30,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile62700.jpg?refresh=0716
RipaRapa,100,Faceless,Retired,2013-07-15,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile72694.jpg?refresh=0946
Cargoman,210,Legion,Active,2013-08-19,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile86726.jpg?refresh=1108
Sam10FINgers,100,Faceless,Retired,2013-05-14,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile45101.jpg?refresh=1257
Helsinki1005,104,Faceless,Retired,2012-10-02,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile6663.jpg?refresh=1200
speggo,116,Faceless,Retired,2013-07-02,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile64733.jpg?refresh=0940
redrhonda,134,Faceless,Retired,2012-08-13,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile3711.jpg?refresh=0143
krd003,118,Faceless,Retired,2013-10-20,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile108028.jpg?refresh=0314
Wardo,172,Faceless,Retired,2013-07-17,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile73618.jpg?refresh=0902
The_Major,143,Faceless,Retired,2013-08-13,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile84472.jpg?refresh=0423
Six7,100,Faceless,Retired,2013-12-25,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile122962.jpg?refresh=0959
Daveo,152,Legion,Retired,2013-07-24,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile76450.jpg?refresh=1116
GreatOwl222,190,Faceless,Missing in Action,2013-04-27,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile37215.jpg?refresh=1143
sbob,100,Faceless,Retired,2013-05-19,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile47560.jpg?refresh=0722
rodco,126,Faceless,Retired,2012-08-27,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile4027.jpg?refresh=0431
Danielrocks2000,134,Swarm,Retired,2012-09-16,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile5737.jpg?refresh=1039
Kryaax,100,Faceless,Retired,2013-05-20,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile47606.jpg?refresh=0938
PhilNi,176,Swarm,Retired,2012-09-16,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile5736.jpg?refresh=0547
ActionGee,188,Swarm,Active,2012-11-26,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile9074.jpg?refresh=0310
whyteshadow,157,Swarm,Retired,2013-11-07,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile111654.jpg?refresh=0812
Kreisin,100,Faceless,Retired,2013-07-14,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile72200.jpg?refresh=0749
